annee,type_produit,nom_produit,quantite,prix,vecteur_id,country,annee_str,client,prix_total
2025,CHAMPAGNE,Rosé ! (SSA) (Bio) Brut Nature 750 mL CRD,12,479.4,17,France,2025,17,479.4
2024,CHAMPAGNE,Rosé ! (SSA) (Conv.Bio) Brut Nature 750 mL CRD,6,228.0,17,France,2024,17,228.0
2025,CHAMPAGNE,Rosé ! (SSA) (Conv.Bio) Brut Nature 750 mL CRD,0,0.0,17,France,2025,17,0.0
2024,CHAMPAGNE,Blanc Assemblage (SSA) (Viti Raisonnée) Brut Nature 750 mL CRD,0,0.0,18,non renseigné,2024,18,0.0
2025,CHAMPAGNE,Blanc Assemblage (SSA) (Viti Raisonnée) Brut Nature 750 mL CRD,24,454.8,18,non renseigné,2025,18,454.8
2024,CHAMPAGNE,Blanc de Chardonnay (SSA) (Bio) Brut Nature 750 mL CRD,0,0.0,18,non renseigné,2024,18,0.0
2025,CHAMPAGNE,Blanc de Chardonnay (SSA) (Bio) Brut Nature 750 mL CRD,12,323.4,18,non renseigné,2025,18,323.4
2024,CHAMPAGNE,Blanc Assemblage (SSA) (Viti Raisonnée) Brut Nature 1500 mL CRD,0,0.0,19,non renseigné,2024,19,0.0
2025,CHAMPAGNE,Blanc Assemblage (SSA) (Viti Raisonnée) Brut Nature 1500 mL CRD,6,134.85,19,non renseigné,2025,19,134.85
2024,CHAMPAGNE,Blanc Assemblage (SSA) (Viti Raisonnée) Brut Nature 750 mL CRD,0,0.0,19,non renseigné,2024,19,0.0
2025,CHAMPAGNE,Blanc Assemblage (SSA) (Viti Raisonnée) Brut Nature 750 mL CRD,36,682.2,19,non renseigné,2025,19,682.2
2024,CHAMPAGNE,Blanc de Chardonnay (SSA) (Bio) Brut Nature 750 mL CRD,0,0.0,19,non renseigné,2024,19,0.0
2025,CHAMPAGNE,Blanc de Chardonnay (SSA) (Bio) Brut Nature 750 mL CRD,36,970.2,19,non renseigné,2025,19,970.2
2024,CHAMPAGNE,Blanc d'Assemblage (SSA) (Conv.Bio) Brut Nature 750 mL CRD,2,81.67,20,non renseigné,2024,20,81.67
2025,CHAMPAGNE,Blanc d'Assemblage (SSA) (Conv.Bio) Brut Nature 750 mL CRD,0,0.0,20,non renseigné,2025,20,0.0
2024,CHAMPAGNE,Blanc de Chardonnay (SSA) (Conv.Bio) Extra-Brut 750 mL CRD,1,57.5,20,non renseigné,2024,20,57.5
2025,CHAMPAGNE,Blanc de Chardonnay (SSA) (Conv.Bio) Extra-Brut 750 mL CRD,0,0.0,20,non renseigné,2025,20,0.0
2024,CHAMPAGNE,Blanc de Meunier (SSA) (Conv.Bio) Brut Nature 750 mL CRD,1,57.5,20,non renseigné,2024,20,57.5
